+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                                 URI                                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 3     | 0   | 0     | 0    | 3   | 0   | GET    | /index.php                                                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 486.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /public/index.php                                                    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /containers/json                                                     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /client                                                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 70400.000    | 234.667    |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/buildings4.svg                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 458200.000   | 1527.333   |
| 16    | 0   | 16    | 0    | 0   | 0   | GET    | /favicon-128x128.png                                                 | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 12528.000    | 783.000    |
| 477   | 0   | 112   | 365  | 0   | 0   | GET    | /favicon.ico                                                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 1899296.000  | 3981.753   |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/buildings5.svg                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 985800.000   | 3286.000   |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 475   | 0   | 110   | 365  | 0   | 0   | GET    | /favicon-32x32.png                                                   | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 36960.000    | 77.811     |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/house1.svg                                                   | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 290300.000   | 967.667    |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/buildings2.svg                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 2382500.000  | 7941.667   |
